level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	377	348	349	76	-1	
3	1	1	1	0	0	377	348	349	76	-1	
4	1	1	1	1	0	377	348	349	76	-1	
5	1	1	1	1	1	377	348	194	76	93	Thang
5	1	1	1	1	2	597	361	129	63	77	cudi
2	1	2	0	0	0	377	482	219	39	-1	
3	1	2	1	0	0	377	482	219	39	-1	
4	1	2	1	1	0	377	482	219	39	-1	
5	1	2	1	1	1	377	482	47	31	92	Lé
5	1	2	1	1	2	440	483	156	38	94	Thuong
2	1	3	0	0	0	375	596	550	568	-1	
3	1	3	1	0	0	375	596	423	55	-1	
4	1	3	1	1	0	375	596	423	55	-1	
5	1	3	1	1	1	375	606	83	35	96	Bong
5	1	3	1	1	2	459	607	138	44	96	trang
5	1	3	1	1	3	611	596	102	55	96	trang
5	1	3	1	1	4	728	606	70	45	96	nga
3	1	3	2	0	0	377	662	248	46	-1	
4	1	3	2	1	0	377	662	248	46	-1	
5	1	3	2	1	1	377	663	55	35	95	Co
5	1	3	2	1	2	449	663	65	45	96	cay
5	1	3	2	1	3	529	662	45	36	96	da
5	1	3	2	1	4	587	668	38	30	96	to
3	1	3	3	0	0	377	711	362	55	-1	
4	1	3	3	1	0	377	711	362	55	-1	
5	1	3	3	1	1	377	721	55	35	92	Co
5	1	3	3	1	2	446	711	109	55	93	thang
5	1	3	3	1	3	571	720	94	42	59	Cudi
5	1	3	3	1	4	680	720	59	46	96	gia
3	1	3	4	0	0	377	767	338	52	-1	
4	1	3	4	1	0	377	767	338	52	-1	
5	1	3	4	1	1	377	767	72	46	92	Om
5	1	3	4	1	2	464	778	76	41	82	mét
5	1	3	4	1	3	555	768	74	45	56	méi
5	1	3	4	1	4	645	788	70	25	96	mo.
3	1	3	5	0	0	375	835	550	161	-1	
4	1	3	5	1	0	375	835	540	46	-1	
5	1	3	5	1	1	375	837	101	44	92	Lang
5	1	3	5	1	2	491	836	70	45	92	yén
5	1	3	5	1	3	574	841	37	30	96	ta
5	1	3	5	1	4	625	835	60	36	42	noi
5	1	3	5	1	5	701	835	94	42	90	Cudi
5	1	3	5	1	6	811	835	104	46	91	nghe:
4	1	3	5	2	0	376	883	549	55	-1	
5	1	3	5	2	1	376	883	54	45	89	“O
5	1	3	5	2	2	447	904	94	34	89	cung
5	1	3	5	2	3	555	894	102	44	90	trang
5	1	3	5	2	4	673	892	70	36	87	mai
5	1	3	5	2	5	759	892	72	36	96	lam
5	1	3	5	2	6	847	892	78	36	96	chi”
4	1	3	5	3	0	375	941	423	55	-1	
5	1	3	5	3	1	375	951	83	35	96	Bong
5	1	3	5	3	2	459	952	138	44	96	trang
5	1	3	5	3	3	611	941	102	55	96	trang
5	1	3	5	3	4	728	951	70	45	96	nga
3	1	3	6	0	0	377	1007	248	46	-1	
4	1	3	6	1	0	377	1007	248	46	-1	
5	1	3	6	1	1	377	1008	55	35	95	Co
5	1	3	6	1	2	449	1008	65	45	96	cay
5	1	3	6	1	3	529	1007	45	36	96	da
5	1	3	6	1	4	587	1013	38	30	96	to
3	1	3	7	0	0	377	1056	362	55	-1	
4	1	3	7	1	0	377	1056	362	55	-1	
5	1	3	7	1	1	377	1066	55	35	92	Co
5	1	3	7	1	2	446	1056	109	55	93	thang
5	1	3	7	1	3	571	1065	94	42	59	Cudi
5	1	3	7	1	4	680	1065	59	46	96	gia
3	1	3	8	0	0	377	1112	338	52	-1	
4	1	3	8	1	0	377	1112	338	52	-1	
5	1	3	8	1	1	377	1112	72	46	92	Om
5	1	3	8	1	2	464	1123	76	41	82	mét
5	1	3	8	1	3	555	1113	74	45	56	méi
5	1	3	8	1	4	645	1133	70	25	96	mo.
2	1	4	0	0	0	375	1237	606	553	-1	
3	1	4	1	0	0	377	1237	354	46	-1	
4	1	4	1	1	0	377	1237	354	46	-1	
5	1	4	1	1	1	377	1237	71	36	67	Gid
5	1	4	1	1	2	464	1237	122	46	84	khéng
5	1	4	1	1	3	602	1238	44	35	90	co
5	1	4	1	1	4	662	1237	69	36	95	nha
3	1	4	2	0	0	377	1295	415	46	-1	
4	1	4	2	1	0	377	1295	415	46	-1	
5	1	4	2	1	1	377	1295	71	36	65	Gid
5	1	4	2	1	2	465	1295	34	36	93	di
5	1	4	2	1	3	515	1296	112	35	26	mu6én
5	1	4	2	1	4	641	1295	151	46	91	phuong
3	1	4	3	0	0	375	1343	451	55	-1	
4	1	4	3	1	0	375	1343	451	55	-1	
5	1	4	3	1	1	375	1343	93	45	91	Bién
5	1	4	3	1	2	482	1352	74	42	92	biét
5	1	4	3	1	3	572	1343	115	55	91	chang
5	1	4	3	1	4	702	1353	124	45	0	ngiing
3	1	4	4	0	0	377	1409	346	36	-1	
4	1	4	4	1	0	377	1409	346	36	-1	
5	1	4	4	1	1	377	1410	92	35	91	Trén
5	1	4	4	1	2	482	1409	69	36	90	troi
5	1	4	4	1	3	566	1410	77	35	34	nuoc
5	1	4	4	1	4	645	1415	78	30	96	ta.
3	1	4	5	0	0	375	1467	606	161	-1	
4	1	4	5	1	0	375	1467	606	46	-1	
5	1	4	5	1	1	375	1469	101	44	93	Lang
5	1	4	5	1	2	491	1467	73	46	92	nghe
5	1	4	5	1	3	566	1469	135	44	96	trang
5	1	4	5	1	4	716	1467	61	46	67	gid
5	1	4	5	1	5	792	1467	70	36	93	bao
5	1	4	5	1	6	878	1467	103	36	93	nhau:
4	1	4	5	2	0	376	1524	525	46	-1	
5	1	4	5	2	1	376	1524	91	42	96	“Chi
5	1	4	5	2	2	482	1524	60	36	96	kia
5	1	4	5	2	3	557	1525	69	45	96	qué
5	1	4	5	2	4	642	1525	94	45	96	quan
5	1	4	5	2	5	750	1525	25	35	71	6
5	1	4	5	2	6	790	1524	111	36	95	dau?”
4	1	4	5	3	0	377	1582	354	46	-1	
5	1	4	5	3	1	377	1582	71	36	67	Gid
5	1	4	5	3	2	464	1582	122	46	84	khéng
