level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	948	1341	-1	
2	1	1	0	0	0	114	185	738	544	-1	
3	1	1	1	0	0	114	185	738	544	-1	
4	1	1	1	1	0	142	185	606	29	-1	
5	1	1	1	1	1	142	196	5	2	64	~
5	1	1	1	1	2	168	185	22	16	16	BOi
5	1	1	1	1	3	195	188	49	17	30	thudng
5	1	1	1	1	4	249	188	12	13	92	vi
5	1	1	1	1	5	267	189	24	16	92	pham
5	1	1	1	1	6	292	191	33	12	93	va
5	1	1	1	1	7	330	192	21	15	85	vét
5	1	1	1	1	8	355	189	32	16	71	chét:
5	1	1	1	1	9	393	193	34	13	96	Theo
5	1	1	1	1	10	432	194	19	15	52	BO
5	1	1	1	1	11	456	194	30	16	52	Luét
5	1	1	1	1	12	491	195	19	13	94	lao
5	1	1	1	1	13	515	196	33	16	57	dong
5	1	1	1	1	14	552	196	16	13	96	va
5	1	1	1	1	15	573	196	28	13	89	theo
5	1	1	1	1	16	606	200	24	13	89	quy
5	1	1	1	1	17	635	197	29	15	89	dinh
5	1	1	1	1	18	669	198	23	12	61	eta
5	1	1	1	1	19	696	198	52	16	73	Céngty
4	1	1	1	2	0	117	215	428	26	-1	
5	1	1	1	2	1	117	215	31	16	32	piéu
5	1	1	1	2	2	154	218	12	12	96	4:
5	1	1	1	2	3	173	218	42	16	89	Nghia
5	1	1	1	2	4	220	222	17	12	82	vy
5	1	1	1	2	5	243	218	16	13	78	va
5	1	1	1	2	6	264	216	45	19	87	quyén
5	1	1	1	2	7	315	221	26	15	93	han
5	1	1	1	2	8	347	221	24	13	84	cia
5	1	1	1	2	9	377	223	41	15	0	ngwdi
5	1	1	1	2	10	423	223	17	12	89	sir
5	1	1	1	2	11	444	223	36	17	85	dyng
5	1	1	1	2	12	485	224	20	13	92	lao
5	1	1	1	2	13	510	224	35	17	64	dong
4	1	1	1	3	0	116	247	81	16	-1	
5	1	1	1	3	1	116	248	10	12	84	1.
5	1	1	1	3	2	132	247	43	15	60	Nghia
5	1	1	1	3	3	181	251	16	12	79	vu
4	1	1	1	4	0	141	275	618	24	-1	
5	1	1	1	4	1	141	282	5	2	55	~
5	1	1	1	4	2	167	275	27	13	63	Bao
5	1	1	1	4	3	199	276	28	13	77	dam
5	1	1	1	4	4	233	276	28	16	85	vige
5	1	1	1	4	5	266	276	25	14	76	lim
5	1	1	1	4	6	296	278	16	12	93	va
5	1	1	1	4	7	317	278	30	15	62	thyc
5	1	1	1	4	8	352	278	28	16	79	hign
5	1	1	1	4	9	386	276	24	19	94	day
5	1	1	1	4	10	414	280	16	12	77	dit
5	1	1	1	4	11	436	280	42	17	50	nhtmg
5	1	1	1	4	12	482	278	28	16	29	didu
5	1	1	1	4	13	515	281	16	13	85	da
5	1	1	1	4	14	535	285	27	9	93	cam
5	1	1	1	4	15	568	278	19	16	77	két
5	1	1	1	4	16	592	284	35	14	89	trong
5	1	1	1	4	17	632	282	25	16	80	hgp
5	1	1	1	4	18	661	279	25	16	55	ddng
